gamma_eff_over_gf,tau_Q,E_B_max_over_omega0F2,P_B_max_over_omega0F2,t_at_E_B_max,t_at_P_B_max
0.0,473.8879609717656,224779.0811382473,473.196013755549,475.0231925122835,475.0231925122835
0.0,536.6976945540476,288514.606239772,535.8201845422294,581.7095171144783,537.6961867653375
0.0,607.8323128297236,369847.19019972655,607.4904294308964,608.8115504078038,608.8115504078038
0.0,688.3952069645503,474282.3316737623,688.0840509683393,689.2796468778861,689.2796468778861
0.0,779.6360130405237,608076.9525135036,778.038086385519,805.57055232617,780.4677872706802
0.0,882.9699955494092,778593.4662641605,876.2289888397928,927.604076601013,883.7435217184701
0.0,1000.0,995708.5640891743,995.0740457086716,1000.6376594618653,1000.6376594618653
0.0001,0.1,4.019554786548652,1.3535698078105851,3.1475399527811128,2.7866756142456985
0.0001,0.11325413151528117,4.025163224881218,1.3553301448475634,3.148372645317287,2.7874128388477892
0.0001,0.12826498305280606,4.032355236687343,1.3575769887214844,3.1493157040173236,2.7882477761682036
0.0001,0.14526539259467808,4.041594553858645,1.3604440923688637,3.150383756957729,2.789193377179136
0.0001,0.16451905877536624,4.053375977739851,1.3640731364400387,3.1515933710395094,2.7902643093916675
0.0001,0.18632463119315604,4.068501219879947,1.368692704983483,3.1529633089625153,2.791477184368087
0.0001,0.21102034285685956,4.087873768192836,1.3745529935577019,3.154514820259515,2.7928508153889973
0.0001,0.23898925662310497,4.112684630650222,1.3819691240799332,3.1361683341469413,2.794406509271954
0.0001,0.27066520700332414,4.1444044752082245,1.391335348370619,3.1381457043987675,2.7961683968681323
0.0001,0.3065395295056528,4.18491219410047,1.4031230265697348,3.1605158255831887,2.7981638073634603
0.0001,0.34716868189265615,4.236652809994754,1.4179606057632397,3.163068357365805,2.820570618033202
0.0001,0.3931828755705769,4.302607908412366,1.4365887095787346,3.165959205067859,2.823148444009556
0.0001,0.44529585099426555,4.386486816262613,1.4597317261968934,3.1692332095262503,2.826067938431051
0.0001,0.504315948717136,4.492860125904614,1.488558937809089,3.172941154841373,2.849584196386201
0.0001,0.5711586478126432,4.627812184342168,1.5241188216904535,3.1973771137872746,2.8735921908721074
0.0001,0.6468607661546326,4.798248827004432,1.5678039524122216,3.222430252828566,2.8981606424810376
0.0001,0.732596542821523,5.01346639158345,1.6211088374251192,3.2481863888961366,2.943669008687124
0.0001,0.8296958520834908,5.284201365669828,1.6858113339700334,3.2747432453723255,2.989983050122558
0.0001,0.9396648314954695,5.623760811284043,1.7637026116211516,3.3225961198614495,3.0372198518978895
0.0001,1.0642092440647246,6.048730604393695,1.8569725833607613,3.3920212355000983,3.126381096575392
0.0001,1.2052609368708427,6.579296548703799,1.9677802303481022,3.4628617160188764,3.2169781148814414
0.0001,1.3650078065460138,7.240352708756999,2.0985625706700515,3.576436047754705,3.3297853548061043
0.0001,1.5459277364194777,8.063873234702704,2.251992213400624,3.6921662204158014,3.465273385641646
0.0001,1.750827031735725,9.087235313706834,2.4309112292616235,3.8310945637739535,3.6447170390498154
0.0001,1.9828839491270713,10.360405830602717,2.6389445301103494,4.014685437447589,3.8274721735251624
0.0001,2.245697995539774,11.942841740834702,2.8792797347972368,4.223142573869161,4.055889442230779
0.0001,2.5433457613046495,13.91377039562609,3.156212565894729,4.47848536741012,4.331305129983496
0.0001,2.8804441533962977,16.3701888299036,3.4740806637337216,4.78230598306025,4.6341814924344895
0.0001,3.26222200971167,19.433633938104336,3.838060159667538,5.136533718423575,5.008653235807221
0.0001,3.6946012051993025,23.265343437735982,4.254503137745632,5.52201470657712,5.41458253329741
0.0001,4.184288507901583,28.062598165514757,4.729322628272281,5.984340076502936,5.875928136711217
0.0001,4.738879609717656,34.07855129163569,5.270385588732698,6.505582011238954,6.417964758562335
0.0001,5.366976945540476,41.64175807249601,5.885512065140567,7.11196549720628,7.023342886649193
0.0001,6.07832312829723,51.16281091658811,6.585083206890095,7.8092271307112595,7.741906215791335
0.0001,6.8839520696455,63.16291924133274,7.379872823836506,8.58153343427625,8.536008063272133
0.0001,7.796360130405237,78.33237466021795,8.282395658208143,9.48239685572875,9.43614126618861
0.0001,8.829699955494092,97.51439607959897,9.306803382240732,10.4994190608845,10.452336468683225
0.0001,10.0,121.80847091549346,10.467501621034243,11.668668272509002,11.62064906562625
0.0001,11.325413151528126,152.62408753691417,11.78455743279389,12.981650871211835,12.93257090950593
0.0001,12.826498305280612,191.7597743641268,13.276472812372253,14.455877730906902,14.430737075722716
0.0001,14.526539259467812,241.47552192630965,14.967454057631238,16.16391174446853,16.112269857106007
0.0001,16.451905877536625,304.7592515265221,16.882870575730887,18.05556058857438,18.02896919006396
0.0001,18.6324631193156,385.38451415266275,19.054672278657506,20.240947211258742,20.213483240822843
0.0001,21.102034285685967,488.0722938703678,21.513378299381365,22.70485196517703,22.676399770985082
0.0001,23.898925662310504,619.048208573843,24.297107689974055,25.490546441741362,25.460975043317067
0.0001,27.06652070033241,786.1604389525761,27.44859586367415,28.649379472032336,28.618540528574822
0.0001,30.653952950565298,999.2772655124152,31.022509929882304,32.24221708588025,32.20994259530379
0.0001,34.71686818926563,1271.9142106926327,35.06472189434242,36.273329488401046,36.273329488401046
0.0001,39.3182875570577,1619.9214257369497,39.63965722063448,40.88840428982553,40.852662678558204
0.0001,44.529585099426555,2065.2072345416,44.82443756987951,46.073243670308734,46.073243670308734
0.0001,50.431594871713585,2634.1699497734544,50.692202242304646,51.9640069528314,51.9640069528314
0.0001,57.11586478126435,3361.821304624926,57.332513518838915,58.63725656333319,58.63725656333319
0.0001,64.68607661546328,4292.153597254789,64.81486262139823,66.22329316211024,66.17740037474911
0.0001,73.2596542821523,5484.320799043781,73.34473734701018,74.77456457572744,74.77456457572744
0.0001,82.96958520834914,7003.8392068947705,82.94066208389752,84.49607932047157,84.4428702031413
0.0001,93.966483149547,8959.203349804502,93.85377476344833,95.45916903593412,95.45916903593412
0.0001,106.42092440647247,11453.099427826137,106.13464613077063,107.91103419438117,107.91103419438117
0.0001,120.52609368708426,14642.96285922971,120.01536709842571,122.009066115849,122.009066115849
0.0001,136.50078065460139,18728.62884391744,135.79682545087798,137.9165439378565,137.9165439378565
0.0001,154.59277364194784,23957.178166478487,153.5244494159509,168.57003656213308,156.0439484411975
0.0001,175.08270317357253,30655.5582771511,173.58300983559135,182.75022217254048,176.44538457664208
0.0001,198.28839491270713,39226.715614918256,196.2476292843323,205.96312248100915,199.7037512058989
0.0001,224.56979955397762,50184.43012300194,222.15667953795813,225.8965619551733,225.8965619551733
0.0001,254.33457613046508,64220.99877068292,251.14229876513895,261.9453892468269,255.62886768247864
0.0001,288.0444153396298,82160.57792995866,283.89405310068855,295.6092325443074,289.35384703264634
0.0001,326.222200971167,105095.09058159975,320.9115807032245,327.48924283536695,327.48924283536695
0.0001,369.46012051993023,134402.11823116872,362.57703649131105,370.68568801761273,370.68568801761273
0.0001,418.42885079015844,171936.0755767623,409.7785266718043,419.5829317197668,419.5829317197668
0.0001,473.8879609717656,219525.26253557147,462.1358830387946,475.0231925122835,475.0231925122835
0.0001,536.6976945540476,280772.55249649566,521.6645329623072,544.004764115381,537.6961867653375
0.0001,607.8323128297236,358805.21955299046,589.3535024305137,608.8115504078038,608.8115504078038
0.0001,688.3952069645503,458285.10717225866,664.8754380723057,689.2796468778861,689.2796468778861
0.0001,779.6360130405237,584506.6870957309,748.3987667030234,786.6916133174959,780.4677872706802
0.0001,882.9699955494092,743471.8483528914,838.5400932652739,927.604076601013,883.7435217184701
0.0001,1000.0,947374.2757489831,946.770558544112,1000.6376594618653,1000.6376594618653
0.001,0.1,4.016705616090723,1.352635569014979,3.1475399527811128,2.7866756142456985
0.001,0.11325413151528117,4.022310183738878,1.354395549103437,3.148372645317287,2.7874128388477892
0.001,0.12826498305280606,4.029492295756018,1.3566386772859644,3.1493157040173236,2.7882477761682036
0.001,0.14526539259467808,4.0386972810714195,1.3594957599016377,3.150383756957729,2.789193377179136
0.001,0.16451905877536624,4.050481510973668,1.3631250586404673,3.1515933710395094,2.7902643093916675
0.001,0.18632463119315604,4.065578330655272,1.367736237120075,3.1529633089625153,2.791477184368087
0.001,0.21102034285685956,4.084951872582464,1.3735965146403293,3.154514820259515,2.7928508153889973
0.001,0.23898925662310497,4.109734002869289,1.3810043625290986,3.1361683341469413,2.794406509271954
0.001,0.27066520700332414,4.141416963556454,1.3903592254474022,3.1381457043987675,2.7961683968681323
0.001,0.3065395295056528,4.181880198823554,1.4021341581386517,3.1605158255831887,2.7981638073634603
0.001,0.34716868189265615,4.233563189194229,1.4169512033167555,3.163068357365805,2.820570618033202
0.001,0.3931828755705769,4.299441581888873,1.435556424288526,3.165959205067859,2.823148444009556
0.001,0.44529585099426555,4.383225021081553,1.4586713878311846,3.1692332095262503,2.826067938431051
0.001,0.504315948717136,4.489463250863988,1.4874593232781925,3.172941154841373,2.849584196386201
0.001,0.5711586478126432,4.624254879154624,1.5229714999753952,3.1973771137872746,2.8735921908721074
0.001,0.6468607661546326,4.794480372282091,1.5665966304531267,3.222430252828566,2.8981606424810376
0.001,0.732596542821523,5.009422137361206,1.6198239564551233,3.2481863888961366,2.943669008687124
0.001,0.8296958520834908,5.279802043789768,1.6844296329613262,3.2747432453723255,2.989983050122558
0.001,0.9396648314954695,5.618895546654289,1.762200558196874,3.3225961198614495,3.0372198518978895
0.001,1.0642092440647246,6.043264653170594,1.8553161847846027,3.3920212355000983,3.126381096575392
0.001,1.2052609368708427,6.573036149556386,1.965928729363766,3.4628617160188764,3.2169781148814414
0.001,1.3650078065460138,7.233055414412873,2.0964660030270377,3.576436047754705,3.3297853548061043
0.001,1.5459277364194777,8.055200380101526,2.2495899109799757,3.6921662204158014,3.465273385641646
0.001,1.750827031735725,9.076750708354822,2.428122977355643,3.8310945637739535,3.6447170390498154
0.001,1.9828839491270713,10.347496386182574,2.635675793055197,4.014685437447589,3.8274721735251624
0.001,2.245697995539774,11.926684423614292,2.8754011126409216,4.223142573869161,4.055889442230779
0.001,2.5433457613046495,13.893225564482181,3.151566645297922,4.47848536741012,4.331305129983496
0.001,2.8804441533962977,16.343691694340976,3.468471176244598,4.78230598306025,4.6341814924344895
0.001,3.26222200971167,19.39900469707965,3.8312309909766897,5.136533718423575,5.008653235807221
0.001,3.6946012051993025,23.219537303013993,4.246136694182062,5.52201470657712,5.41458253329741
0.001,4.184288507901583,28.001360998777496,4.719013356509981,5.984340076502936,5.875928136711217
0.001,4.738879609717656,33.99593982408824,5.2576159900915185,6.505582011238954,6.417964758562335
0.001,5.366976945540476,41.52926397197189,5.869622084735175,7.11196549720628,7.023342886649193
0.001,6.07832312829723,51.008463708020535,6.565227187810068,7.8092271307112595,7.741906215791335
0.001,6.8839520696455,62.94986426902745,7.354984296887069,8.58153343427625,8.536008063272133
0.001,7.796360130405237,78.03652925540479,8.25111588497017,9.48239685572875,9.43614126618861
0.001,8.829699955494092,97.10119008636329,9.267371661386472,10.4994190608845,10.452336468683225
0.001,10.0,121.22891808966813,10.417702175493574,11.668668272509002,11.62064906562625
0.001,11.325413151528126,151.80783616691303,11.721534117063522,12.981650871211835,12.93257090950593
0.001,12.826498305280612,190.60623312677794,13.196609311630887,14.455877730906902,14.430737075722716
0.001,14.526539259467812,239.84009826677945,14.866088983863355,16.16391174446853,16.112269857106007
0.001,16.451905877536625,302.434093469072,16.754068973361143,18.05556058857438,18.02896919006396
0.001,18.6324631193156,382.0706997430253,18.890828531157087,20.240947211258742,20.213483240822843
0.001,21.102034285685967,483.3401955983365,21.304799598624097,22.70485196517703,22.676399770985082
0.001,23.898925662310504,612.2785753644615,24.031407284668322,25.490546441741362,25.460975043317067
0.001,27.06652070033241,776.4601193057647,27.109915709148712,28.649379472032336,28.618540528574822
0.001,30.653952950565298,985.3626820833085,30.59053426094874,32.24221708588025,32.20994259530379
0.001,34.71686818926563,1251.922118607072,34.51357061136043,36.273329488401046,36.273329488401046
0.001,39.3182875570577,1591.1771248468415,38.936291368346296,40.88840428982553,40.852662678558204
0.001,44.529585099426555,2023.8318390615614,43.9264023506509,46.073243670308734,46.073243670308734
0.001,50.431594871713585,2574.588725668734,49.545615833777624,51.9640069528314,51.9640069528314
0.001,57.11586478126435,3275.9752605994195,55.86849475232678,58.63725656333319,58.63725656333319
0.001,64.68607661546328,4168.429718246891,62.94654602221418,66.22329316211024,66.17740037474911
0.001,73.2596542821523,5305.8681872922825,70.95819570997034,74.77456457572744,74.77456457572744
0.001,82.96958520834914,6746.647713627895,79.89494117642502,84.49607932047157,84.4428702031413
0.001,93.966483149547,8587.995879345155,89.96512295337851,95.45916903593412,95.45916903593412
0.001,106.42092440647247,10917.838929703064,101.17444440423634,107.91103419438117,107.91103419438117
0.001,120.52609368708426,13871.318256916511,113.69088132963445,122.009066115849,122.009066115849
0.001,136.50078065460139,17616.224409021743,127.73104593571745,137.9165439378565,137.9165439378565
0.001,154.59277364194784,22353.562970234823,143.25171333804326,156.0439484411975,156.0439484411975
0.001,175.08270317357253,28320.472202327725,160.50559934043636,176.44538457664208,176.44538457664208
0.001,198.28839491270713,35869.13274569422,179.61171249463595,199.7037512058989,199.7037512058989
0.001,224.56979955397762,45401.29942372959,200.9826932768414,225.8965619551733,225.8965619551733
0.001,254.33457613046508,57325.24019372352,224.25182536476382,255.62886768247864,255.62886768247864
0.001,288.0444153396298,72274.40486908822,249.77862091784755,289.35384703264634,289.35384703264634
0.001,326.222200971167,90936.59350966783,277.67810851540804,327.48924283536695,327.48924283536695
0.001,369.46012051993023,114127.57274444046,307.8823284351292,370.68568801761273,370.68568801761273
0.001,418.42885079015844,142934.65432479736,340.6588865255875,419.5829317197668,419.5829317197668
0.001,473.8879609717656,178185.20033348788,375.1084223721987,475.0231925122835,475.0231925122835
0.001,536.6976945540476,221627.58074342395,412.1799376645888,537.6961867653375,537.6961867653375
0.001,607.8323128297236,275040.3867781161,451.76604582137804,608.8115504078038,608.8115504078038
0.001,688.3952069645503,339533.4361554267,492.59170453291944,689.2796468778861,689.2796468778861
0.001,779.6360130405237,416507.22775459307,533.6635727287754,780.4677872706802,780.4677872706802
0.001,882.9699955494092,506233.18216361577,572.8281675878401,883.7435217184701,883.7435217184701
0.001,1000.0,616807.2803780929,616.4142180195445,1000.6376594618653,1000.6376594618653
0.01,0.1,3.988401383852821,1.3433592393855223,3.1475399527811128,2.7866756142456985
0.01,0.11325413151528117,3.993945777724775,1.3450993509408955,3.148372645317287,2.7874128388477892
0.01,0.12826498305280606,4.001048913297963,1.347318171088868,3.1493157040173236,2.7882477761682036
0.01,0.14526539259467808,4.0101549169340585,1.350141296786126,3.150383756957729,2.789193377179136
0.01,0.16451905877536624,4.021815073177028,1.3537315946542554,3.1515933710395094,2.7902643093916675
0.01,0.18632463119315604,4.036764553354986,1.3582955694513914,3.1529633089625153,2.791477184368087
0.01,0.21102034285685956,4.055903511216693,1.3640828382809878,3.154514820259515,2.7928508153889973
0.01,0.23898925662310497,4.0804092346174246,1.3714061237091675,3.1361683341469413,2.794406509271954
0.01,0.27066520700332414,4.1117375441956945,1.3806525861512982,3.1381457043987675,2.7961683968681323
0.01,0.3065395295056528,4.151743286329289,1.3922907324761413,3.1605158255831887,2.7981638073634603
0.01,0.34716868189265615,4.202840208839923,1.406905358016592,3.163068357365805,2.820570618033202
0.01,0.3931828755705769,4.2679589263339395,1.4252893790387735,3.165959205067859,2.823148444009556
0.01,0.44529585099426555,4.350760497582766,1.44812472141904,3.1692332095262503,2.826067938431051
0.01,0.504315948717136,4.455740178111145,1.4765295274385284,3.172941154841373,2.849584196386201
0.01,0.5711586478126432,4.5888908507689035,1.5115623628609909,3.1973771137872746,2.8735921908721074
0.01,0.6468607661546326,4.757014337097816,1.5545923813825777,3.222430252828566,2.8981606424810376
0.01,0.732596542821523,4.9692263290205085,1.6070460208376094,3.2481863888961366,2.943669008687124
0.01,0.8296958520834908,5.236059495323577,1.6706915920080476,3.2747432453723255,2.989983050122558
0.01,0.9396648314954695,5.57055590801215,1.7472688739420468,3.3225961198614495,3.0372198518978895
0.01,1.0642092440647246,5.988925077672934,1.8388345087288664,3.3920212355000983,3.126381096575392
0.01,1.2052609368708427,6.510861533475431,1.9475295129360402,3.4628617160188764,3.2169781148814414
0.01,1.3650078065460138,7.160602734525383,2.0756555459375483,3.576436047754705,3.3297853548061043
0.01,1.5459277364194777,7.969182898262328,2.22575181023099,3.6921662204158014,3.465273385641646
0.01,1.750827031735725,8.97276348019079,2.4004608572268147,3.8310945637739535,3.624008425191578
0.01,1.9828839491270713,10.219557434809891,2.6032446194192356,4.014685437447589,3.8274721735251624
0.01,2.245697995539774,11.766647024317583,2.836967077225456,4.223142573869161,4.055889442230779
0.01,2.5433457613046495,13.68987406808256,3.1055680727915975,4.47848536741012,4.331305129983496
0.01,2.8804441533962977,16.081599134547233,3.4129833825661184,4.78230598306025,4.6341814924344895
0.01,3.26222200971167,19.056838065398594,3.763744732603959,5.136533718423575,5.008653235807221
0.01,3.6946012051993025,22.76746617411634,4.163557160086096,5.52201470657712,5.41458253329741
0.01,4.184288507901583,27.397789957528126,4.617393976492871,5.984340076502936,5.875928136711217
0.01,4.738879609717656,33.18259495521425,5.131909978504845,6.505582011238954,6.417964758562335
0.01,5.366976945540476,40.4239956046091,5.713495848865898,7.11196549720628,7.023342886649193
0.01,6.07832312829723,49.49557656876955,6.370544459721346,7.8092271307112595,7.741906215791335
0.01,6.8839520696455,60.865775526694186,7.111515278844523,8.58153343427625,8.536008063272133
0.01,7.796360130405237,75.14896920658794,7.9458313117911565,9.48239685572875,9.43614126618861
0.01,8.829699955494092,93.08132407374282,8.883747466614544,10.4994190608845,10.452336468683225
0.01,10.0,115.60921632480097,9.93479155482332,11.668668272509002,11.62064906562625
0.01,11.325413151528126,143.92315980813044,11.112744715338833,12.981650871211835,12.93257090950593
0.01,12.826498305280612,179.50896281173902,12.42829872734489,14.455877730906902,14.430737075722716
0.01,14.526539259467812,224.18406454532163,13.895672890583917,16.16391174446853,16.112269857106007
0.01,16.451905877536625,280.2965994582366,15.527722080029715,18.05556058857438,18.02896919006396
0.01,18.6324631193156,350.71319202048295,17.340395728247028,20.240947211258742,20.213483240822843
0.01,21.102034285685967,438.8716960177834,19.344673425524938,22.70485196517703,22.676399770985082
0.01,23.898925662310504,549.1551784617031,21.55384195478541,25.490546441741362,25.460975043317067
0.01,27.06652070033241,686.8070832125788,23.979662640927515,28.649379472032336,28.618540528574822
0.01,30.653952950565298,858.0329237638688,26.637478815547265,32.24221708588025,32.20994259530379
0.01,34.71686818926563,1071.0239056690066,29.526484631400677,36.273329488401046,36.273329488401046
0.01,39.3182875570577,1334.361191549391,32.6518043309633,40.88840428982553,40.852662678558204
0.01,44.529585099426555,1659.4191762962244,36.01698174694859,46.073243670308734,46.073243670308734
0.01,50.431594871713585,2058.1624357144005,39.60746209549677,51.9640069528314,51.9640069528314
0.01,57.11586478126435,2545.1728540280296,43.40538768690565,58.63725656333319,58.63725656333319
0.01,64.68607661546328,3136.2477699327774,47.359300358093805,66.22329316211024,66.17740037474911
0.01,73.2596542821523,3850.578519939246,51.495833399866854,74.77456457572744,74.77456457572744
0.01,82.96958520834914,4701.921835051794,55.67997774582546,84.49607932047157,84.4428702031413
0.01,93.966483149547,5719.525032441046,59.9159314941032,95.45916903593412,95.45916903593412
0.01,106.42092440647247,6910.926805242968,64.04281876118665,107.91103419438117,107.91103419438117
0.01,120.52609368708426,8295.707395350868,67.99254891004574,122.009066115849,122.009066115849
0.01,136.50078065460139,9888.344059328307,71.69802677033347,137.9165439378565,137.9165439378565
0.01,154.59277364194784,11693.581089987856,74.93774162215834,156.0439484411975,156.0439484411975
0.01,175.08270317357253,13698.93197366389,77.63836955289428,176.44538457664208,176.44538457664208
0.01,198.28839491270713,15911.076953905409,79.67340051364755,199.7037512058989,199.7037512058989
0.01,224.56979955397762,18302.6087137479,81.02207734077801,225.8965619551733,225.8965619551733
0.01,254.33457613046508,20805.29258770286,81.38866621881493,255.62886768247864,255.62886768247864
0.01,288.0444153396298,23384.966861513705,80.8178882061841,289.35384703264634,289.35384703264634
0.01,326.222200971167,25965.269947135344,79.28587126200179,327.48924283536695,327.48924283536695
0.01,369.46012051993023,28465.187300774673,76.79062942247228,370.68568801761273,370.68568801761273
0.01,418.42885079015844,30828.333590451773,73.47375515036813,419.5829317197668,419.5829317197668
0.01,473.8879609717656,32918.79081454993,69.29933387136397,475.0231925122835,475.0231925122835
0.01,536.6976945540476,34758.3209711003,64.6430490426178,537.6961867653375,537.6961867653375
0.01,607.8323128297236,36346.86185108952,59.70133422525096,608.8115504078038,608.8115504078038
0.01,688.3952069645503,37574.21243273882,54.512290625339666,689.2796468778861,689.2796468778861
0.01,779.6360130405237,38438.90391069674,49.25110880632084,780.4677872706802,780.4677872706802
0.01,882.9699955494092,38879.774221633845,43.99440931236561,883.7435217184701,883.7435217184701
0.01,1000.0,39418.09162326344,39.39297232173149,1000.6376594618653,1000.6376594618653
0.02,0.1,3.9573032955466876,1.3331574191001792,3.1475399527811128,2.7866756142456985
0.02,0.11325413151528117,3.9627809886203336,1.3348756412306146,3.148372645317287,2.7874128388477892
0.02,0.12826498305280606,3.969799922741927,1.337066313110293,3.1493157040173236,2.7882477761682036
0.02,0.14526539259467808,3.978794683945353,1.3398547109962793,3.150383756957729,2.789193377179136
0.02,0.16451905877536624,3.990318827741406,1.3434003774843823,3.1515933710395094,2.7902643093916675
0.02,0.18632463119315604,4.0050818174512095,1.3479063388979258,3.1529633089625153,2.791477184368087
0.02,0.21102034285685956,4.023981632750173,1.353619495586224,3.154514820259515,2.7928508153889973
